Authors,Journal,Title,Year,PMCID,PMID,URL,Impact Factor
"Ciceri, G., Baggiolini, A., Cho, H. S., Kshirsagar, M., Benito-Kwiecinski, S., Walsh, R. M., Aromolaran, K. A., Gonzalez-Hernandez, A. J., Munguba, H., Koo, S. Y., Xu, N., Sevilla, K. J., Goldstein, P. A., Levitz, J., Leslie, C. S., Koche, R. P. and Studer, L.",Nature,An epigenetic barrier sets the timing of human neuronal maturation,2024,PMC10881400,38297124,https://www.ncbi.nlm.nih.gov/pubmed/38297124,50.5
"Cui, A., Huang, T., Li, S., Ma, A., Perez, J. L., Sander, C., Keskin, D. B., Wu, C. J., Fraenkel, E. and Hacohen, N.",Nature,Dictionary of immune responses to cytokines at single-cell resolution,2024,PMC10781646,38057668,https://www.ncbi.nlm.nih.gov/pubmed/38057668,50.5
"Deng, Z., Loyher, P. L., Lazarov, T., Li, L., Shen, Z., Bhinder, B., Yang, H., Zhong, Y., Alberdi, A., Massague, J., Sun, J. C., Benezra, R., Glass, C. K., Elemento, O., Iacobuzio-Donahue, C. A. and Geissmann, F.",Nature,The nuclear factor ID3 endows macrophages with a potent anti-tumour activity,2024,PMC10881399,38326607,https://www.ncbi.nlm.nih.gov/pubmed/38326607,50.5
"Ferretti, S., Hamon, J., de Kanter, R., Scheufler, C., Andraos-Rey, R., Barbe, S., Bechter, E., Blank, J., Bordas, V., Dammassa, E., Decker, A., Di Nanni, N., Dourdoigne, M., Gavioli, E., Hattenberger, M., Heuser, A., Hemmerlin, C., Hinrichs, J., Kerr, G., Laborde, L., Jaco, I., Nunez, E. J., Martus, H. J., Quadt, C., Reschke, M., Romanet, V., Schaeffer, F., Schoepfer, J., Schrapp, M., Strang, R., Voshol, H., Wartmann, M., Welly, S., Zecri, F., Hofmann, F., Mobitz, H. and Cortes-Cros, M.",Nature,Discovery of WRN inhibitor HRO761 with synthetic lethality in MSI cancers,2024,PMC11078746,38658754,https://www.ncbi.nlm.nih.gov/pubmed/38658754,50.5
"Gaertner, F., Ishikawa-Ankerhold, H., Stutte, S., Fu, W., Weitz, J., Dueck, A., Nelakuditi, B., Fumagalli, V., van den Heuvel, D., Belz, L., Sobirova, G., Zhang, Z., Titova, A., Navarro, A. M., Pekayvaz, K., Lorenz, M., von Baumgarten, L., Kranich, J., Straub, T., Popper, B., Zheden, V., Kaufmann, W. A., Guo, C., Piontek, G., von Stillfried, S., Boor, P., Colonna, M., Clauss, S., Schulz, C., Brocker, T., Walzog, B., Scheiermann, C., Aird, W. C., Nerlov, C., Stark, K., Petzold, T., Engelhardt, S., Sixt, M., Hauschild, R., Rudelius, M., Oostendorp, R. A. J., Iannacone, M., Heinig, M. and Massberg, S.",Nature,Plasmacytoid dendritic cells control homeostasis of megakaryopoiesis,2024,PMC11254756,38987596,https://www.ncbi.nlm.nih.gov/pubmed/38987596,50.5
"Goto, N., Westcott, P. M. K., Goto, S., Imada, S., Taylor, M. S., Eng, G., Braverman, J., Deshpande, V., Jacks, T., Agudo, J. and Yilmaz, O. H.",Nature,SOX17 enables immune evasion of early colorectal adenomas and cancers,2024,,38418875,https://www.ncbi.nlm.nih.gov/pubmed/38418875,50.5
"Guan, X., Hu, R., Choi, Y., Srivats, S., Nabet, B. Y., Silva, J., McGinnis, L., Hendricks, R., Nutsch, K., Banta, K. L., Duong, E., Dunkle, A., Chang, P. S., Han, C. J., Mittman, S., Molden, N., Daggumati, P., Connolly, W., Johnson, M., Abreu, D. R., Cho, B. C., Italiano, A., Gil-Bazo, I., Felip, E., Mellman, I., Mariathasan, S., Shames, D. S., Meng, R., Chiang, E. Y., Johnston, R. J. and Patil, N. S.",Nature,Anti-TIGIT antibody improves PD-L1 blockade through myeloid and T(reg) cells,2024,PMC11139643,38418879,https://www.ncbi.nlm.nih.gov/pubmed/38418879,50.5
"Imada, S., Khawaled, S., Shin, H., Meckelmann, S. W., Whittaker, C. A., Correa, R. O., Alquati, C., Lu, Y., Tie, G., Pradhan, D., Calibasi-Kocal, G., Nascentes Melo, L. M., Allies, G., Rosler, J., Wittenhofer, P., Krystkiewicz, J., Schmitz, O. J., Roper, J., Vinolo, M. A. R., Ricciardiello, L., Lien, E. C., Vander Heiden, M. G., Shivdasani, R. A., Cheng, C. W., Tasdogan, A. and Yilmaz, O. H.",Nature,Short-term post-fast refeeding enhances intestinal stemness via polyamines,2024,,39169180,https://www.ncbi.nlm.nih.gov/pubmed/39169180,50.5
"Karwacki-Neisius, V., Jang, A., Cukuroglu, E., Tai, A., Jiao, A., Predes, D., Yoon, J., Brookes, E., Chen, J., Iberg, A., Halbritter, F., Ounap, K., Gecz, J., Schlaeger, T. M., Ho Sui, S., Goke, J., He, X., Lehtinen, M. K., Pomeroy, S. L. and Shi, Y.",Nature,WNT signalling control by KDM5C during development affects cognition,2024,PMC10954547,38383780,https://www.ncbi.nlm.nih.gov/pubmed/38383780,50.5
"Lee, C. S., Chen, S., Berry, C. T., Kelly, A. R., Herman, P. J., Oh, S., O'Connor, R. S., Payne, A. S. and Ellebrecht, C. T.",Nature,Fate induction in CD8 CAR T cells through asymmetric cell division,2024,,39198645,https://www.ncbi.nlm.nih.gov/pubmed/39198645,50.5
"Lee, H. G., Rone, J. M., Li, Z., Akl, C. F., Shin, S. W., Lee, J. H., Flausino, L. E., Pernin, F., Chao, C. C., Kleemann, K. L., Srun, L., Illouz, T., Giovannoni, F., Charabati, M., Sanmarco, L. M., Kenison, J. E., Piester, G., Zandee, S. E. J., Antel, J. P., Rothhammer, V., Wheeler, M. A., Prat, A., Clark, I. C. and Quintana, F. J.",Nature,Disease-associated astrocyte epigenetic memory promotes CNS pathology,2024,PMC11016191,38509377,https://www.ncbi.nlm.nih.gov/pubmed/38509377,50.5
"Lorenzo-Martin, L. F., Hubscher, T., Bowler, A. D., Broguiere, N., Langer, J., Tillard, L., Nikolaev, M., Radtke, F. and Lutolf, M. P.",Nature,Spatiotemporally resolved colorectal oncogenesis in mini-colons ex vivo,2024,PMC11078756,38658753,https://www.ncbi.nlm.nih.gov/pubmed/38658753,50.5
"Luo, Q., Raulston, E. G., Prado, M. A., Wu, X., Gritsman, K., Whalen, K. S., Yan, K., Booth, C. A. G., Xu, R., van Galen, P., Doench, J. G., Shimony, S., Long, H. W., Neuberg, D. S., Paulo, J. A. and Lane, A. A.",Nature,Targetable leukaemia dependency on noncanonical PI3Kgamma signalling,2024,,38720074,https://www.ncbi.nlm.nih.gov/pubmed/38720074,50.5
"Mahat, D. B., Tippens, N. D., Martin-Rufino, J. D., Waterton, S. K., Fu, J., Blatt, S. E. and Sharp, P. A.",Nature,Single-cell nascent RNA sequencing unveils coordinated global transcription,2024,PMC11222150,38839954,https://www.ncbi.nlm.nih.gov/pubmed/38839954,50.5
"Mehrotra, P., Maschalidi, S., Boeckaerts, L., Maueroder, C., Tixeira, R., Pinney, J., Burgoa Cardas, J., Sukhov, V., Incik, Y., Anderson, C. J., Hu, B., Keceli, B. N., Goncalves, A., Vande Walle, L., Van Opdenbosch, N., Sergushichev, A., Hoste, E., Jain, U., Lamkanfi, M. and Ravichandran, K. S.",Nature,Oxylipins and metabolites from pyroptotic cells act as promoters of tissue repair,2024,,38926576,https://www.ncbi.nlm.nih.gov/pubmed/38926576,50.5
"Nakandakari-Higa, S., Walker, S., Canesso, M. C. C., van der Heide, V., Chudnovskiy, A., Kim, D. Y., Jacobsen, J. T., Parsa, R., Bilanovic, J., Parigi, S. M., Fiedorczuk, K., Fuchs, E., Bilate, A. M., Pasqual, G., Mucida, D., Kamphorst, A. O., Pritykin, Y. and Victora, G. D.",Nature,Universal recording of immune cell interactions in vivo,2024,PMC11078586,38448581,https://www.ncbi.nlm.nih.gov/pubmed/38448581,50.5
"Park, J., Wu, J., Szkop, K. J., Jeong, J., Jovanovic, P., Husmann, D., Flores, N. M., Francis, J. W., Chen, Y. C., Benitez, A. M., Zahn, E., Song, S., Ajani, J. A., Wang, L., Singh, K., Larsson, O., Garcia, B. A., Topisirovic, I., Gozani, O. and Mazur, P. K.",Nature,SMYD5 methylation of rpL40 links ribosomal output to gastric cancer,2024,,39048817,https://www.ncbi.nlm.nih.gov/pubmed/39048817,50.5
"Ross, J. B., Myers, L. M., Noh, J. J., Collins, M. M., Carmody, A. B., Messer, R. J., Dhuey, E., Hasenkrug, K. J. and Weissman, I. L.",Nature,Depleting myeloid-biased haematopoietic stem cells rejuvenates aged immunity,2024,,38538791,https://www.ncbi.nlm.nih.gov/pubmed/38538791,50.5
"Schnitzler, G. R., Kang, H., Fang, S., Angom, R. S., Lee-Kim, V. S., Ma, X. R., Zhou, R., Zeng, T., Guo, K., Taylor, M. S., Vellarikkal, S. K., Barry, A. E., Sias-Garcia, O., Bloemendal, A., Munson, G., Guckelberger, P., Nguyen, T. H., Bergman, D. T., Hinshaw, S., Cheng, N., Cleary, B., Aragam, K., Lander, E. S., Finucane, H. K., Mukhopadhyay, D., Gupta, R. M. and Engreitz, J. M.",Nature,Convergence of coronary artery disease genes onto endothelial cell programs,2024,PMC10921916,38326615,https://www.ncbi.nlm.nih.gov/pubmed/38326615,50.5
"Stewart, K. S., Abdusselamoglu, M. D., Tierney, M. T., Gola, A., Hur, Y. H., Gonzales, K. A. U., Yuan, S., Bonny, A. R., Yang, Y., Infarinato, N. R., Cowley, C. J., Levorse, J. M., Pasolli, H. A., Ghosh, S., Rothlin, C. V. and Fuchs, E.",Nature,Stem cells tightly regulate dead cell clearance to maintain tissue fitness,2024,PMC11390485,39169186,https://www.ncbi.nlm.nih.gov/pubmed/39169186,50.5
"Uddback, I., Michalets, S. E., Saha, A., Mattingly, C., Kost, K. N., Williams, M. E., Lawrence, L. A., Hicks, S. L., Lowen, A. C., Ahmed, H., Thomsen, A. R., Russell, C. J., Scharer, C. D., Boss, J. M., Koelle, K., Antia, R., Christensen, J. P. and Kohlmeier, J. E.",Nature,Prevention of respiratory virus transmission by resident memory CD8(+) T cells,2024,PMC11040656,38086420,https://www.ncbi.nlm.nih.gov/pubmed/38086420,50.5
"Yamagishi, M., Kuze, Y., Kobayashi, S., Nakashima, M., Morishima, S., Kawamata, T., Makiyama, J., Suzuki, K., Seki, M., Abe, K., Imamura, K., Watanabe, E., Tsuchiya, K., Yasumatsu, I., Takayama, G., Hizukuri, Y., Ito, K., Taira, Y., Nannya, Y., Tojo, A., Watanabe, T., Tsutsumi, S., Suzuki, Y. and Uchimaru, K.",Nature,Mechanisms of action and resistance in histone methylation-targeted therapy,2024,PMC10917674,38383791,https://www.ncbi.nlm.nih.gov/pubmed/38383791,50.5
"Barisic, D., Chin, C. R., Meydan, C., Teater, M., Tsialta, I., Mlynarczyk, C., Chadburn, A., Wang, X., Sarkozy, M., Xia, M., Carson, S. E., Raggiri, S., Debek, S., Pelzer, B., Durmaz, C., Deng, Q., Lakra, P., Rivas, M., Steidl, C., Scott, D. W., Weng, A. P., Mason, C. E., Green, M. R. and Melnick, A.",Cancer Cell,ARID1A orchestrates SWI/SNF-mediated sequential binding of transcription factors with ARID1A loss driving pre-memory B cell fate and lymphomagenesis,2024,PMC11407687,38458187,https://www.ncbi.nlm.nih.gov/pubmed/38458187,48.8
"Benguigui, M., Cooper, T. J., Kalkar, P., Schif-Zuck, S., Halaban, R., Bacchiocchi, A., Kamer, I., Deo, A., Manobla, B., Menachem, R., Haj-Shomaly, J., Vorontsova, A., Raviv, Z., Buxbaum, C., Christopoulos, P., Bar, J., Lotem, M., Sznol, M., Ariel, A., Shen-Orr, S. S. and Shaked, Y.",Cancer Cell,Interferon-stimulated neutrophils as a predictor of immunotherapy response,2024,PMC10864002,38181798,https://www.ncbi.nlm.nih.gov/pubmed/38181798,48.8
"Bolomsky, A., Ceribelli, M., Scheich, S., Rinaldi, K., Huang, D. W., Chakraborty, P., Pham, L., Wright, G. W., Hsiao, T., Morris, V., Choi, J., Phelan, J. D., Holewinski, R. J., Andresson, T., Wisniewski, J., Riley, D., Pittaluga, S., Hill, E., Thomas, C. J., Muppidi, J. and Young, R. M.",Cancer Cell,IRF4 requires ARID1A to establish plasma cell identity in multiple myeloma,2024,PMC11233249,38906156,https://www.ncbi.nlm.nih.gov/pubmed/38906156,48.8
"Choi, J., Ceribelli, M., Phelan, J. D., Haupl, B., Huang, D. W., Wright, G. W., Hsiao, T., Morris, V., Ciccarese, F., Wang, B., Corcoran, S., Scheich, S., Yu, X., Xu, W., Yang, Y., Zhao, H., Zhou, J., Zhang, G., Muppidi, J., Inghirami, G. G., Oellerich, T., Wilson, W. H., Thomas, C. J. and Staudt, L. M.",Cancer Cell,Molecular targets of glucocorticoids that elucidate their therapeutic efficacy in aggressive lymphomas,2024,PMC11168741,38701792,https://www.ncbi.nlm.nih.gov/pubmed/38701792,48.8
"Diepstraten, S. T., Yuan, Y., La Marca, J. E., Young, S., Chang, C., Whelan, L., Ross, A. M., Fischer, K. C., Pomilio, G., Morris, R., Georgiou, A., Litalien, V., Brown, F. C., Roberts, A. W., Strasser, A., Wei, A. H. and Kelly, G. L.",Cancer Cell,Putting the STING back into BH3-mimetic drugs for TP53-mutant blood cancers,2024,,38670091,https://www.ncbi.nlm.nih.gov/pubmed/38670091,48.8
"Dyikanov, D., Zaitsev, A., Vasileva, T., Wang, I., Sokolov, A. A., Bolshakov, E. S., Frank, A., Turova, P., Golubeva, O., Gantseva, A., Kamysheva, A., Shpudeiko, P., Krauz, I., Abdou, M., Chasse, M., Conroy, T., Merriam, N. R., Alesse, J. E., English, N., Shpak, B., Shchetsova, A., Tikhonov, E., Filatov, I., Radko, A., Bolshakova, A., Kachalova, A., Lugovykh, N., Bulahov, A., Kilina, A., Asanbekov, S., Zheleznyak, I., Skoptsov, P., Alekseeva, E., Johnson, J. M., Curry, J. M., Linnenbach, A. J., South, A. P., Yang, E., Morozov, K., Terenteva, A., Nigmatullina, L., Fastovetz, D., Bobe, A., Balabanian, L., Nomie, K., Yong, S. T., Davitt, C. J. H., Ryabykh, A., Kudryashova, O., Tazearslan, C., Bagaev, A., Fowler, N., Luginbuhl, A. J., Ataullakhanov, R. I. and Goldberg, M. F.",Cancer Cell,Comprehensive peripheral blood immunoprofiling reveals five immunotypes with immunotherapy response characteristics in patients with cancer,2024,,38744245,https://www.ncbi.nlm.nih.gov/pubmed/38744245,48.8
"Espinosa-Carrasco, G., Chiu, E., Scrivo, A., Zumbo, P., Dave, A., Betel, D., Kang, S. W., Jang, H. J., Hellmann, M. D., Burt, B. M., Lee, H. S. and Schietinger, A.",Cancer Cell,Intratumoral immune triads are required for immunotherapy-mediated elimination of solid tumors,2024,,38906155,https://www.ncbi.nlm.nih.gov/pubmed/38906155,48.8
"Gupta, T., Antanaviciute, A., Hyun-Jung Lee, C., Ottakandathil Babu, R., Aulicino, A., Christoforidou, Z., Siejka-Zielinska, P., O'Brien-Ball, C., Chen, H., Fawkner-Corbett, D., Geros, A. S., Bridges, E., McGregor, C., Cianci, N., Fryer, E., Alham, N. K., Jagielowicz, M., Santos, A. M., Fellermeyer, M., Davis, S. J., Parikh, K., Cheung, V., Al-Hillawi, L., Sasson, S., Slevin, S., Brain, O., Consortium, T. I. P., Fernandes, R. A., Koohy, H. and Simmons, A.",Cancer Cell,Tracking in situ checkpoint inhibitor-bound target T cells in patients with checkpoint-induced colitis,2024,,38744246,https://www.ncbi.nlm.nih.gov/pubmed/38744246,48.8
"He, X. Y., Gao, Y., Ng, D., Michalopoulou, E., George, S., Adrover, J. M., Sun, L., Albrengues, J., Dassler-Plenker, J., Han, X., Wan, L., Wu, X. S., Shui, L. S., Huang, Y. H., Liu, B., Su, C., Spector, D. L., Vakoc, C. R., Van Aelst, L. and Egeblad, M.",Cancer Cell,Chronic stress increases metastasis via neutrophil-mediated changes to the microenvironment,2024,PMC11300849,38402610,https://www.ncbi.nlm.nih.gov/pubmed/38402610,48.8
"Hoekstra, M. E., Slagter, M., Urbanus, J., Toebes, M., Slingerland, N., de Rink, I., Kluin, R. J. C., Nieuwland, M., Kerkhoven, R., Wessels, L. F. A. and Schumacher, T. N.",Cancer Cell,Distinct spatiotemporal dynamics of CD8(+) T cell-derived cytokines in the tumor microenvironment,2024,PMC10783802,38194914,https://www.ncbi.nlm.nih.gov/pubmed/38194914,48.8
"Kaczanowska, S., Murty, T., Alimadadi, A., Contreras, C. F., Duault, C., Subrahmanyam, P. B., Reynolds, W., Gutierrez, N. A., Baskar, R., Wu, C. J., Michor, F., Altreuter, J., Liu, Y., Jhaveri, A., Duong, V., Anbunathan, H., Ong, C., Zhang, H., Moravec, R., Yu, J., Biswas, R., Van Nostrand, S., Lindsay, J., Pichavant, M., Sotillo, E., Bernstein, D., Carbonell, A., Derdak, J., Klicka-Skeels, J., Segal, J. E., Dombi, E., Harmon, S. A., Turkbey, B., Sahaf, B., Bendall, S., Maecker, H., Highfill, S. L., Stroncek, D., Glod, J., Merchant, M., Hedrick, C. C., Mackall, C. L., Ramakrishna, S. and Kaplan, R. N.",Cancer Cell,Immune determinants of CAR-T cell expansion in solid tumor patients receiving GD2 CAR-T cell therapy,2024,PMC10947809,38134936,https://www.ncbi.nlm.nih.gov/pubmed/38134936,48.8
"Lin, C. P., Levy, P. L., Alflen, A., Apriamashvili, G., Ligtenberg, M. A., Vredevoogd, D. W., Bleijerveld, O. B., Alkan, F., Malka, Y., Hoekman, L., Markovits, E., George, A., Traets, J. J. H., Krijgsman, O., van Vliet, A., Pozniak, J., Pulido-Vicuna, C. A., de Bruijn, B., van Hal-van Veen, S. E., Boshuizen, J., van der Helm, P. W., Diaz-Gomez, J., Warda, H., Behrens, L. M., Mardesic, P., Dehni, B., Visser, N. L., Marine, J. C., Markel, G., Faller, W. J., Altelaar, M., Agami, R., Besser, M. J. and Peeper, D. S.",Cancer Cell,Multimodal stimulation screens reveal unique and shared genes limiting T cell fitness,2024,PMC11003465,38490212,https://www.ncbi.nlm.nih.gov/pubmed/38490212,48.8
"Liu, H., Gao, J., Feng, M., Cheng, J., Tang, Y., Cao, Q., Zhao, Z., Meng, Z., Zhang, J., Zhang, G., Zhang, C., Zhao, M., Yan, Y., Wang, Y., Xue, R., Zhang, N. and Li, H.",Cancer Cell,Integrative molecular and spatial analysis reveals evolutionary dynamics and tumor-immune interplay of in situ and invasive acral melanoma,2024,,38759655,https://www.ncbi.nlm.nih.gov/pubmed/38759655,48.8
